arrival_time,length,cpus
0.0,6302.0,1
68.0,1000.0,1
463.0,1570.0,3
838.0,23549.0,1
1986.0,666.0,1
2619.0,628.0,2
2619.0,628.0,2
2939.0,54963.0,1
3009.0,52845.0,1
4052.0,23663.0,3
4791.0,1750.0,2
5796.0,2825.0,1
6422.0,27120.0,1
6947.0,12173.0,2
7578.0,2040.0,1
8628.0,1112.0,1
8628.0,1112.0,1
9988.0,8335.0,1
10481.0,418.0,1
11269.0,2474.0,1
11498.0,562.0,1
12778.0,16941.0,1
13300.0,489.0,1
14435.0,916.0,4
15275.0,327.0,1
15673.0,172856.0,2
15892.0,374.0,1
15895.0,342.0,1
16421.0,12364.0,1
16456.0,476.0,2
16747.0,3522.0,1
17435.0,1425.0,3
17525.0,11077.0,1
21343.0,306.0,1
22329.0,3545.0,1
22719.0,12740.0,1
23562.0,29696.0,1
24505.0,2356.0,2
26860.0,591.0,2
26860.0,591.0,2
26878.0,337.0,4
27704.0,20468.0,1
31213.0,2135.0,1
33121.0,1602.0,2
33231.0,3539.0,1
33334.0,11933.0,1
33381.0,21797.0,1
33499.0,338.0,2
34097.0,18740.0,1
34607.0,386.0,1
37374.0,57241.0,4
37439.0,1484.0,1
38457.0,443.0,3
39395.0,21637.0,1
39956.0,386.0,1
40299.0,36755.0,1
40576.0,34651.0,1
40698.0,12794.0,1
40788.0,30903.0,1
40853.0,345.0,1
41076.0,1274.0,1
41149.0,11609.0,1
41385.0,35723.0,1
41524.0,36432.0,1
43402.0,24956.0,1
43955.0,10409.0,1
45189.0,31244.0,1
45246.0,21931.0,1
46122.0,46800.0,1
46438.0,1642.0,1
46587.0,47979.0,1
46670.0,50278.0,1
46833.0,3781.0,1
47307.0,33066.0,1
47430.0,658.0,1
47446.0,35481.0,1
47919.0,427.0,1
47927.0,345.0,1
48071.0,589.0,1
48327.0,24938.0,1
48353.0,5848.0,3
48968.0,29068.0,1
49204.0,31779.0,1
50938.0,41590.0,1
51740.0,14772.0,1
51939.0,6592.0,2
51982.0,46524.0,1
52289.0,35392.0,1
52387.0,63037.0,1
55519.0,1512.0,1
56068.0,875.0,1
57022.0,397.0,1
57178.0,2329.0,1
59105.0,458.0,1
59278.0,341.0,1
59302.0,6895.0,3
59761.0,1386.0,1
59895.0,314.0,1
60272.0,13308.0,1
62387.0,1100.0,1
62697.0,18840.0,1
62697.0,16376.0,1
62745.0,8650.0,1
62745.0,8650.0,1
63321.0,28905.0,1
64259.0,23764.0,1
64259.0,23715.0,1
64262.0,23864.0,1
64285.0,24045.0,1
64385.0,15671.0,1
64777.0,6944.0,3
66212.0,949.0,1
67986.0,6830.0,3
68977.0,7766.0,1
69118.0,306.0,1
71226.0,21358.0,2
71361.0,2357.0,2
71815.0,4851.0,1
71852.0,337.0,1
72628.0,483.0,1
72728.0,24731.0,1
74115.0,407.0,3
74152.0,9375.0,1
75085.0,493.0,1
75341.0,6650.0,1
75640.0,18638.0,2
76317.0,625.0,1
76692.0,527.0,1
77811.0,8703.0,1
77827.0,9635.0,1
78621.0,16426.0,1
78654.0,18421.0,1
78832.0,336.0,1
79367.0,111465.0,1
80504.0,4420.0,1
81174.0,12475.0,1
81654.0,521.0,1
81860.0,2075.0,1
83339.0,1461.0,1
84591.0,458.0,1
84596.0,3106.0,1
84649.0,32112.0,2
84816.0,303.0,1
86690.0,5878.0,1
86691.0,5816.0,1
86692.0,5841.0,1
88055.0,13405.0,1
88414.0,4306.0,3
88519.0,1892.0,1
88975.0,7593.0,1
89356.0,14065.0,1
89441.0,346.0,1
89651.0,314.0,1
90727.0,6596.0,1
90727.0,6737.0,1
90727.0,6613.0,1
90728.0,4749.0,1
90728.0,7397.0,1
90728.0,5213.0,1
90729.0,1794.0,1
90731.0,8434.0,1
90731.0,8215.0,1
90861.0,9312.0,1
90890.0,9972.0,1
91113.0,2907.0,1
91366.0,7204.0,1
91546.0,8796.0,1
91787.0,7133.0,1
92356.0,1871.0,2
92542.0,969.0,4
93264.0,46702.0,3
94444.0,788.0,4
94548.0,978.0,1
95099.0,1637.0,1
95316.0,358.0,1
95643.0,4404.0,4
95758.0,784.0,4
95766.0,324.0,1
96563.0,1150.0,2
97903.0,1276.0,4
98586.0,400.0,1
98684.0,880.0,1
99503.0,1878.0,1
99810.0,1943.0,1
99980.0,516.0,1
100180.0,55089.0,1
100746.0,2200.0,1
100869.0,1307.0,1
102638.0,466.0,1
102692.0,4421.0,1
102715.0,7658.0,1
102831.0,7331.0,1
104185.0,54682.0,1
105195.0,156345.0,2
107422.0,346.0,1
107817.0,3725.0,1
107957.0,3054.0,1
108189.0,3922.0,1
108368.0,3911.0,1
108892.0,5727.0,1
109732.0,3057.0,1
110621.0,421.0,1
112190.0,1385.0,1
112548.0,390.0,1
112549.0,610.0,1
113237.0,1120.0,1
114094.0,309.0,1
114440.0,8039.0,1
114658.0,985.0,1
114942.0,997.0,1
115436.0,2710.0,1
116138.0,11942.0,1
117394.0,1256.0,1
118553.0,4487.0,1
118629.0,337.0,1
118865.0,16102.0,4
119053.0,4397.0,1
119530.0,1686.0,1
120294.0,327.0,1
121449.0,1015.0,1
121796.0,480.0,1
121817.0,437.0,1
122409.0,1893.0,1
122952.0,9490.0,1
123815.0,214787.0,1
124452.0,516.0,1
125405.0,335.0,1
125500.0,63597.0,1
125521.0,55842.0,1
125698.0,17301.0,1
127928.0,6566.0,1
127992.0,946.0,2
127992.0,946.0,2
128383.0,15248.0,1
128393.0,629.0,1
128628.0,415.0,2
131671.0,443.0,1
132696.0,2672.0,1
132711.0,25565.0,1
132795.0,2963.0,1
133059.0,366.0,1
133198.0,989.0,1
133886.0,716.0,1
133987.0,1156.0,1
134421.0,336.0,1
134425.0,325.0,1
134448.0,1417.0,1
134462.0,537.0,1
134966.0,3920.0,1
135849.0,2297.0,1
136230.0,335.0,1
136255.0,573.0,1
136608.0,4747.0,1
136701.0,10426.0,1
139131.0,9201.0,2
139606.0,6076.0,1
141410.0,3994.0,1
141439.0,3767.0,1
141803.0,665.0,1
143361.0,5377.0,1
144316.0,1589.0,1
144811.0,20254.0,1
